CustomerID,CustomerName,Gender,City,State,Email,Phone
101,Customer 101,Male,Delhi,Delhi,customer101@gmail.com,9876540000
102,Customer 102,Female,Lucknow,Uttar Pradesh,customer102@gmail.com,9876540001
103,Customer 103,Male,Mumbai,Maharashtra,customer103@gmail.com,9876540002
104,Customer 104,Female,Kolkata,West Bengal,customer104@gmail.com,9876540003
105,Customer 105,Male,Patna,Bihar,customer105@gmail.com,9876540004
106,Customer 106,Female,Jaipur,Rajasthan,customer106@gmail.com,9876540005
107,Customer 107,Male,Ahmedabad,Gujarat,customer107@gmail.com,9876540006
108,Customer 108,Female,Chennai,Tamil Nadu,customer108@gmail.com,9876540007
109,Customer 109,Male,Hyderabad,Telangana,customer109@gmail.com,9876540008
110,Customer 110,Female,Bhubaneswar,Odisha,customer110@gmail.com,9876540009
111,Customer 111,Male,Delhi,Delhi,customer111@gmail.com,9876540010
112,Customer 112,Female,Lucknow,Uttar Pradesh,customer112@gmail.com,9876540011
113,Customer 113,Male,Mumbai,Maharashtra,customer113@gmail.com,9876540012
114,Customer 114,Female,Kolkata,West Bengal,customer114@gmail.com,9876540013
115,Customer 115,Male,Patna,Bihar,customer115@gmail.com,9876540014
116,Customer 116,Female,Jaipur,Rajasthan,customer116@gmail.com,9876540015
117,Customer 117,Male,Ahmedabad,Gujarat,customer117@gmail.com,9876540016
118,Customer 118,Female,Chennai,Tamil Nadu,customer118@gmail.com,9876540017
119,Customer 119,Male,Hyderabad,Telangana,customer119@gmail.com,9876540018
120,Customer 120,Female,Bhubaneswar,Odisha,customer120@gmail.com,9876540019
121,Customer 121,Male,Delhi,Delhi,customer121@gmail.com,9876540020
122,Customer 122,Female,Lucknow,Uttar Pradesh,customer122@gmail.com,9876540021
123,Customer 123,Male,Mumbai,Maharashtra,customer123@gmail.com,9876540022
124,Customer 124,Female,Kolkata,West Bengal,customer124@gmail.com,9876540023
125,Customer 125,Male,Patna,Bihar,customer125@gmail.com,9876540024
126,Customer 126,Female,Jaipur,Rajasthan,customer126@gmail.com,9876540025
127,Customer 127,Male,Ahmedabad,Gujarat,customer127@gmail.com,9876540026
128,Customer 128,Female,Chennai,Tamil Nadu,customer128@gmail.com,9876540027
129,Customer 129,Male,Hyderabad,Telangana,customer129@gmail.com,9876540028
130,Customer 130,Female,Bhubaneswar,Odisha,customer130@gmail.com,9876540029
131,Customer 131,Male,Delhi,Delhi,customer131@gmail.com,9876540030
132,Customer 132,Female,Lucknow,Uttar Pradesh,customer132@gmail.com,9876540031
133,Customer 133,Male,Mumbai,Maharashtra,customer133@gmail.com,9876540032
